
12/06/2018;12:22:12

Y1:Torque actual value [I_N/1000] / Y2:Position actual value [p-unit]
t[ms];Y1[Torque actual value [I_N/1000]];Y2[Position actual value [p-unit]]
1075,1;-590;40456
1081,1;-480;29895
1087,1;-531;18105
1093,1;-517;5660
1099,1;-473;-6266
1111,1;50;-4095
1123,1;0;5277
1139,1;-8;19322
1147,1;36;26920
1153,1;7;32937
1159,1;7;39076
1165,1;29;45320
1171,1;0;51925
1183,1;58;65526
1189,1;7;72575
1195,1;-8;79633
1201,1;7;87104
1207,1;14;86238
1219,1;-73;85992
1225,1;50;86189
1231,1;-8;86449
1237,1;-15;86937
1264,1;7;87319
1267,1;-44;87402
1279,1;0;87372
1285,1;36;87358
1297,1;43;87363
1303,1;7;87376
1309,1;-8;87380
1315,1;0;87380
1321,1;21;87385
1333,1;0;87380
1339,1;14;87380
1345,1;7;87380
1351,1;-51;87385
1357,1;29;87385
1369,1;0;87380
1375,1;-8;87380
1381,1;-15;87385
1387,1;0;87385
1393,1;-44;87380
1405,1;-8;87380
1411,1;-30;87380
1417,1;-8;87380
1423,1;-30;87380
1429,1;7;87385
1441,1;-8;87380
1447,1;7;87380
1453,1;0;87389
1459,1;0;87385
1465,1;-8;87380
1477,1;0;87380
1483,1;21;87385
1489,1;7;87385
1495,1;43;87380
1501,1;-8;87380
1513,1;-30;87385
1519,1;-30;87385
1525,1;-8;87385
1531,1;0;87385
1537,1;-30;87385
1549,1;65;87385
1555,1;43;87385
1561,1;0;87385
1567,1;7;87385
1573,1;-8;87380
1585,1;29;87380
1591,1;-30;87380
1597,1;-8;87385
1603,1;14;87380
1609,1;-8;87389
1621,1;0;87380
1627,1;-66;87385
1633,1;0;87385
1639,1;-37;87385
1645,1;0;87385
1657,1;29;87385
1663,1;0;87385
1669,1;21;87389
1675,1;0;87385
1681,1;0;87385
1693,1;-8;87385
1699,1;-37;87389
1705,1;-8;87389
1711,1;0;87385
1717,1;0;87385
1729,1;7;87385
1735,1;0;87385
1741,1;0;87385
1747,1;29;87385
1753,1;36;87385
1765,1;-8;87385
1771,1;-15;87385
1777,1;7;87385
1783,1;-37;87389
1789,1;-8;87385
1801,1;7;87385
1807,1;0;87385
1813,1;7;87389
1819,1;-30;87389
1825,1;-30;87389
1837,1;14;87385
1843,1;-15;87385
1849,1;-8;87385
1855,1;0;87389
1861,1;-8;87385
1873,1;0;87385
1879,1;-66;87380
1885,1;-95;87385
1891,1;-37;87385
1897,1;-8;87380
1909,1;-51;87389
1915,1;21;87380
1921,1;0;87389
1927,1;0;87389
1933,1;7;87385
1945,1;-8;87385
1951,1;-59;87385
1957,1;0;87385
1963,1;-146;87385
1969,1;0;87385
1981,1;-44;87385
1987,1;-44;87389
1993,1;-37;87389
1999,1;0;87389
2028,1;-30;87389
2029,1;7;87385
2041,1;14;87389
2053,1;0;87385
2059,1;-22;87385
2065,1;29;87385
2071,1;-80;87385
2077,1;-15;87389
2089,1;-37;87389
2095,1;-8;87385
2101,1;7;87385
2107,1;-30;87385
2113,1;0;87389
2125,1;29;87385
2131,1;-8;87385
2137,1;-8;87389
2143,1;7;87389
2149,1;-15;87385
2161,1;-44;87385
2167,1;65;87385
2173,1;21;87385
2179,1;0;87385
2185,1;7;87385
2197,1;58;87389
2203,1;43;87385
2209,1;-30;87385
2215,1;-30;87385
2221,1;7;87385
2233,1;7;87385
2239,1;43;87385
2245,1;43;87385
2251,1;-22;87389
2257,1;-8;87389
2269,1;0;87385
2275,1;-37;87385
2281,1;7;87389
2287,1;7;87380
2293,1;-30;87389
2305,1;-8;87385
2311,1;43;87389
2317,1;0;87385
2323,1;-66;87385
2329,1;-30;87385
2341,1;-30;87385
2347,1;-8;87385
2353,1;-51;87389
2359,1;0;87385
