
13/06/2018;17:11:45

Y1:Position actual value [p-unit] / Y2:Velocity actual value [v-unit] / Y3:Torque actual value [I_N/1000] / Y4:AnIn 7 scaled value 
t[ms];Y1[Position actual value [p-unit]];Y2[Velocity actual value [v-unit]];Y3[Torque actual value [I_N/1000]];Y4[AnIn 7 scaled value ]
2156,1;87433;1;-44;1442
2162,1;87433;-1;-8;1440
2168,1;87433;0;-30;1439
2174,1;87433;0;-30;1444
2180,1;87433;0;-30;1442
2186,1;87433;1;-8;1437
2198,1;87433;0;0;1439
2204,1;87433;0;-30;1434
2210,1;87433;0;-15;1438
2222,1;87433;0;0;1439
2228,1;87433;0;-15;1440
2234,1;87433;0;-66;1443
2240,1;87433;0;21;1441
2252,1;87437;0;-30;1441
2258,1;87437;0;-15;1444
2264,1;87437;3;36;1439
